sample	cutadapt_total_processed	cutadapt_reverse_complemented	cutadapt_passing_filters	cutadapt_passing_filters_percent	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
Nov_SF_01_S	217,059	NA	211,914	97.6%	211914	210619	209878	210228	203478	203018
Nov_SF_02_B	188,673	NA	187,265	99.3%	187265	182717	180725	182017	173750	173750
Nov_SF_02_S	322,101	NA	320,396	99.5%	320396	317955	316135	317366	310763	310724
Nov_SF_S3_B	481	NA	478	99.4%	478	458	400	428	261	261
Nov_SF_S3_S	115,389	NA	114,777	99.5%	114777	114067	113136	113812	110458	110391
Nov_VW_C1_B	101,768	NA	99,780	98.0%	99780	98855	98114	98290	96458	96318
Nov_VW_C1_S	255,835	NA	254,374	99.4%	254374	252329	251322	251855	246570	246570
Nov_VW_C2_B	113,183	NA	112,446	99.3%	112446	112019	110945	111798	107678	107678
Nov_VW_C2_S	97,467	NA	96,969	99.5%	96969	90930	90170	90643	87701	87638
Nov_VW_C3_B	74,361	NA	73,952	99.4%	73952	73780	73608	73686	72693	72693
Nov_VW_C3_S	150,166	NA	149,358	99.5%	149358	147547	146178	146514	143276	143255
Nov_VW_S5_B	273,391	NA	271,649	99.4%	271649	269100	266191	268255	262450	262043
Nov_VW_S5_S	216,800	NA	215,602	99.4%	215602	214083	213580	213918	208503	208503
Nov_VW_S6_B	279,503	NA	278,164	99.5%	278164	272206	264784	270733	258670	258567
Nov_VW_S6_S	102,617	NA	96,373	93.9%	96373	93728	92854	92998	91244	91244
Nov_VW_S7_B	488,051	NA	485,325	99.4%	485325	480419	479430	479706	469617	469503
Nov_VW_S7_S	466,534	NA	463,927	99.4%	463927	455963	453227	454417	437157	437047
Oct_501_1_B	139,987	NA	139,250	99.5%	139250	136365	135929	136162	131217	126024
Oct_501_1_S	209,692	NA	208,812	99.6%	208812	207829	207596	207772	204858	204858
Oct_501_2_B	110,391	NA	109,736	99.4%	109736	109375	108269	108950	103544	103544
Oct_501_2_S	226,155	NA	225,027	99.5%	225027	222184	221355	221780	213053	213053
Oct_501_3_B	109,559	NA	107,026	97.7%	107026	102991	102258	102635	99254	99254
Oct_501_3_S	111,832	NA	110,323	98.7%	110323	109165	108855	108995	105637	105627
Oct_501_4_B	244,200	NA	238,790	97.8%	238790	237230	236828	236780	223145	222466
Oct_501_4_S	232,586	NA	231,481	99.5%	231481	229734	229272	229526	222649	222649
Oct_REV_01_B	241,031	NA	238,038	98.8%	238038	233246	232350	232814	224433	224278
Oct_REV_02_B	339,242	NA	337,853	99.6%	337853	335905	334844	335048	327042	326791
Oct_REV_03_B	112,100	NA	110,912	98.9%	110912	109448	109246	109301	105038	105038
Oct_REV_04_B	210,585	NA	209,427	99.5%	209427	207774	206938	207432	201113	201113
Oct_REV_05_B	230,397	NA	229,609	99.7%	229609	228382	227860	227774	216727	216727
Oct_REV_06_B	1,226	NA	1,217	99.3%	1217	1165	1091	1115	764	764
Oct_REV_07_B	165,382	NA	164,702	99.6%	164702	163617	163231	163447	156333	156318
Oct_REV_08_B	87,184	NA	86,712	99.5%	86712	86132	85723	85974	83126	83105
Oct_REV_09_B	338,513	NA	336,654	99.5%	336654	335196	333353	334442	326907	326845
Oct_REV_10_B	79,539	NA	74,980	94.3%	74980	67850	67335	67256	65530	65516
Oct_REV_11_B	255,328	NA	253,135	99.1%	253135	251273	250115	250810	240432	240432
Oct_REV_12_B	170,753	NA	169,118	99.0%	169118	168217	168149	168153	163260	160690
Oct_REV_13_B	317,684	NA	313,217	98.6%	313217	305136	303971	304588	294122	294095
Oct_REV_14_B	85,696	NA	85,153	99.4%	85153	84135	83979	84065	82734	82734
Oct_REV_15_B	84,072	NA	83,426	99.2%	83426	82402	81274	82121	76548	74863
Oct_REV_16_B	170,168	NA	167,789	98.6%	167789	166083	164797	165311	157495	157328
Oct_REV_17_B	68,026	NA	67,715	99.5%	67715	67366	66976	67100	65285	62098
Oct_REV_C1_B	220,158	NA	218,844	99.4%	218844	217979	216881	215216	206907	206648
Oct_REV_C2_B	90,992	NA	85,148	93.6%	85148	81119	80572	80222	76802	76728
Oct_REV_C3_B	75,192	NA	73,817	98.2%	73817	72893	72028	72306	69718	69718
Oct_REV_C4_B	253,289	NA	251,657	99.4%	251657	250463	250180	250172	241069	241069
Oct_REV_C5_B	2	NA	2	100.0%	2	2	2	2	1	1
Oct_REV_C6_B	206,070	NA	204,874	99.4%	204874	202126	201378	201734	192578	192514
Oct_SF_01_B	168,961	NA	168,050	99.5%	168050	166929	166777	166666	163685	163428
Oct_SF_01_S	131,542	NA	130,819	99.5%	130819	130243	130011	130100	126394	126394
Oct_SF_02_B	170,217	NA	163,688	96.2%	163688	142747	141795	141629	138164	137955
Oct_SF_02_S	119,982	NA	119,325	99.5%	119325	118466	117976	118286	111872	111872
Oct_SF_S3_B	85,693	NA	85,020	99.2%	85020	84291	84156	84088	82205	81924
Oct_SF_S3_S	194,373	NA	193,391	99.5%	193391	190051	189601	189758	184282	184282
Oct_VW_C1_B	182,498	NA	177,711	97.4%	177711	175518	174841	174974	167533	167530
Oct_VW_C1_S	268,360	NA	266,198	99.2%	266198	260031	258789	258278	246553	246527
Oct_VW_C2_B	174,993	NA	173,570	99.2%	173570	165119	163256	164557	159419	159367
Oct_VW_C2_S	244,166	NA	242,647	99.4%	242647	240502	239260	239970	230837	230837
Oct_VW_C3_B	95,169	NA	94,531	99.3%	94531	94155	93136	93806	89828	89828
Oct_VW_C3_S	111,396	NA	110,699	99.4%	110699	110496	109393	109573	106321	106270
Oct_VW_S5_B	135,646	NA	133,891	98.7%	133891	133149	132763	132973	131554	131554
Oct_VW_S5_S	184,633	NA	183,811	99.6%	183811	183012	182958	182973	177570	177570
Oct_VW_S6_B	60,932	NA	60,203	98.8%	60203	59808	58538	59365	55234	55234
Oct_VW_S6_S	214,566	NA	212,586	99.1%	212586	209362	207572	208909	194938	194938
Oct_VW_S7_B	116,322	NA	115,699	99.5%	115699	114970	113908	114681	111739	111608
Oct_VW_S7_S	285,938	NA	281,050	98.3%	281050	274940	271838	273410	263018	262989
Sep_501_1_B	94,480	NA	94,050	99.5%	94050	88847	88734	88672	87630	87630
Sep_501_1_S	122,880	NA	122,186	99.4%	122186	118446	117757	117861	115830	112466
Sep_501_2_B	117,761	NA	112,586	95.6%	112586	109312	108188	108575	106224	106178
Sep_501_3_B	144,135	NA	142,695	99.0%	142695	139487	138539	138608	135921	135826
Sep_501_3_S	88,366	NA	87,915	99.5%	87915	87050	86265	86734	84835	84737
Sep_501_4_B	125,929	NA	115,025	91.3%	115025	107670	106513	106689	103424	103424
Sep_DI_Blank_1B	194,086	NA	192,925	99.4%	192925	182744	182179	182603	178624	178087
Sep_DI_Blank_2A	154,019	NA	149,399	97.0%	149399	140878	139944	140043	138199	138199
Sep_DI_Blank_2B	159,370	NA	158,599	99.5%	158599	145372	142745	143626	140071	139862
Sep_REV_01_B	107,974	NA	107,443	99.5%	107443	102786	102569	102639	100456	100456
Sep_REV_02_B	121,528	NA	119,136	98.0%	119136	117999	117294	117305	115066	115028
Sep_REV_03_B	106,197	NA	105,658	99.5%	105658	105431	105244	105076	103657	103657
Sep_REV_04_B	111,163	NA	110,122	99.1%	110122	109436	109042	109053	107079	107079
Sep_REV_05_B	235,933	NA	234,608	99.4%	234608	233893	233319	233208	229835	229766
Sep_REV_06_B	120,918	NA	119,740	99.0%	119740	119028	118407	118457	114582	114434
Sep_REV_07_B	180,486	NA	179,432	99.4%	179432	178811	177703	178199	173069	172835
Sep_REV_08_B	165,356	NA	164,004	99.2%	164004	163039	162714	162777	159538	159227
Sep_REV_09_B	168,674	NA	167,816	99.5%	167816	165975	165638	165544	162351	162168
Sep_REV_10_B	169,446	NA	168,644	99.5%	168644	164968	164293	164344	160883	160821
Sep_REV_11_B	175,398	NA	174,604	99.5%	174604	173626	173363	173270	170884	170884
Sep_REV_12_B	134,540	NA	133,853	99.5%	133853	133185	132092	131721	128668	128562
Sep_REV_13_B	144,740	NA	143,961	99.5%	143961	143062	142579	142211	138357	138132
Sep_REV_14_B	92,727	NA	80,903	87.2%	80903	78267	77465	77021	75031	75031
Sep_REV_15_B	136,041	NA	130,696	96.1%	130696	127573	126584	126798	122702	122702
Sep_REV_16_B	64,706	NA	64,381	99.5%	64381	64135	63992	63977	62953	62947
Sep_REV_17_B	138,116	NA	137,547	99.6%	137547	137145	136523	136393	134273	134230
Sep_REV_C1_B	71,475	NA	64,123	89.7%	64123	61868	61361	61507	60787	60736
Sep_REV_C2_B	103,410	NA	102,770	99.4%	102770	100002	99325	99469	97834	97768
Sep_REV_C3_B	204,906	NA	203,597	99.4%	203597	202763	202500	202466	198633	198017
Sep_REV_C4_B	119,516	NA	117,341	98.2%	117341	115689	114726	115000	112327	112327
Sep_REV_C5_B	180,779	NA	179,340	99.2%	179340	178664	178353	178288	176604	176604
Sep_REV_C6_B	148,070	NA	147,254	99.4%	147254	143905	143581	143605	141462	141462
Sep_SF_01_B	227,249	NA	226,157	99.5%	226157	223462	222681	222624	217489	217325
Sep_SF_01_S	101,429	NA	99,573	98.2%	99573	89159	88574	88663	87434	87292
Sep_SF_02_B	94,570	NA	90,400	95.6%	90400	65170	63158	64233	61772	61738
Sep_SF_02_S	78,052	NA	77,555	99.4%	77555	76847	76527	76550	75745	75745
Sep_SF_S3_B	1,079	NA	1,065	98.7%	1065	1022	871	901	562	562
Sep_SF_S3_S	123,931	NA	116,656	94.1%	116656	104270	104002	103906	102102	102101
Sep_VW_C1_B	612	NA	603	98.5%	603	580	514	527	337	337
Sep_VW_C1_S	166,505	NA	158,756	95.3%	158756	150865	149785	150004	147514	147278
Sep_VW_C2_B	145,830	NA	145,024	99.4%	145024	144028	141910	143477	138929	138880
Sep_VW_C2_S	126,164	NA	124,115	98.4%	124115	121830	120929	121214	119068	119044
Sep_VW_C3_S	147,312	NA	146,608	99.5%	146608	145945	145613	145687	143171	143123
Sep_VW_S5_B	198,437	NA	195,387	98.5%	195387	191735	190561	191162	186037	186035
Sep_VW_S5_S	74,546	NA	74,147	99.5%	74147	73357	73073	73229	71285	71285
Sep_VW_S6_B	91,589	NA	87,614	95.7%	87614	70733	70189	70221	69301	69301
Sep_VW_S6_S	182,820	NA	181,898	99.5%	181898	181313	181106	181081	179643	179313
Sep_VW_S7_B	164,040	NA	163,089	99.4%	163089	161467	160401	161036	157375	157355
Sep_VW_S7_S	125,696	NA	124,485	99.0%	124485	123776	122699	122549	119168	119040
