ASV_ID	C1_bottom	C1_surface	C10_surface	C10a	C10b	C10c	C11_bottom	C11_surface	C11a	C11b	C11c	C12_bottom	C12_surface	C13_bottom	C13_surface	C13a	C13b	C13c	C14_bottom	C14_surface	C14a	C14b	C14c	C1a	C1b	C1c	C2_surface	C2a	C2b	C2c	C3_surface	C3a	C3b	C3c	C4_bottom	C4_surface	C4a	C4b	C4c	C5_bottom	C5_surface	C5a	C5b	C5c	H2O_negative	N1_bottom	N1_surface	N10_surface	N10a	N10b	N10c	N11_surface	N11a	N11b	N11c	N12_surface	N12a	N12b	N12c	N13_surface	N13a	N13b	N13c	N14_surface	N14a	N14b	N14c	N15_surface	N15a	N15b	N15c	N16_bottom	N16_surface	N16a	N16b	N16c	N1a	N1b	N1c	N2_bottom	N2_surface	N3_surface	N3a	N3b	N3c	N4_surface	N4a	N4b	N4c	N5_surface	N5a	N5b	N5c	N6_surface	N7_surface	N7a	N7b	N7c	N8_surface	N8a	N8b	N8c	N9_surface	N9a	N9b	N9c	S1_bottom	S1_surface	S10_bottom	S10_surface	S10a	S10b	S10c	S11_bottom	S11_surface	S11a	S11b	S11c	S12_bottom	S12_surface	S12a	S12b	S12c	S13_bottom	S13_surface	S13a	S13b	S13c	S14_bottom	S14_surface	S14a	S14b	S14c	S1a	S1b	S1c	S2_bottom	S2_surface	S2a	S2b	S2c	S3_bottom	S3_surface	S3a	S3b	S3c	S4_bottom	S4_surface	S4a	S4b	S4c	S5_bottom	S5_surface	S5a	S5b	S5c	S6_bottom	S6_surface	S6a	S6b	S6c	S7_bottom	S7_surface	S7a	S7b	S7c	S8_bottom	S8_surface	S8a	S8b	S8c	S9_bottom	S9_surface	S9a	S9b	S9c	Sed_Neg	Sed_Neg2
0d61d4b7de48593109f5d112ed91948a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fb511a8c52441d7c1ed8ee37e080ad6	0	0	0	0	0	0	0	0	0	0	0	0	0	5136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1186c621e048e637a49024762b3750e7	73	0	0	16	0	0	12247	0	13	27	20917	4	0	5315	10	9	0	24	6323	20491	0	0	0	0	0	1	0	10	0	0	0	0	51	0	3719	14	11	0	0	7584	17	12	0	0	0	9873	11	38	0	0	0	0	15	32	0	0	7	0	0	0	0	0	0	0	87	0	15	0	0	7	0	6126	0	0	0	35	22	61638	0	12696	37	0	25	0	0	0	2004	32	0	0	50	0	34489	0	0	3	0	0	0	0	16	95	14	0	36	0	115	0	15	0	0	0	0	5780	0	0	0	0	20	24	78144	6	11	5795	0	9	17	12	0	0	20	0	14	0	18	0	1936	7	0	0	5	6922	8	4	0	0	23	39	28	0	0	8318	0	20766	16	11	12	0	9	0	16	21	5	0	0	0	9	20	8	0	3	76	0	0	0	0	0	0
12ec47a024145ea53abe2244343a8a18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	2282	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14f5a1d4993cbbaac9426a2ccb964d26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10783	0	0	0	0	0	0	0	0	0	0
1535a44c66f8850e6d30284f8ddeb38d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1539d6c4a8b53f0913c0edfe57afd9d2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15ace24d075433568c3f3a00ba46643f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15d1c8eae770b0d669496f9b88e777f6	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16de09dbce953f9fed0846f679270d3a	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
