ASV_ID	TDL_EC_49_12S	TDL_FS_10_12S	TDL_FS_11_12S	TDL_FS_12_12S	TDL_FS_13_12S	TDL_FS_14_12S	TDL_FS_15_12S	TDL_FS_16_12S	TDL_FS_17_12S	TDL_FS_18_12S	TDL_FS_19_12S	TDL_FS_1_12S	TDL_FS_20_12S	TDL_FS_21_12S	TDL_FS_22_12S	TDL_FS_23_12S	TDL_FS_24_12S	TDL_FS_25_12S	TDL_FS_26_12S	TDL_FS_27_12S	TDL_FS_28_12S	TDL_FS_29_12S	TDL_FS_2_12S	TDL_FS_30_12S	TDL_FS_31_12S	TDL_FS_32_12S	TDL_FS_33_12S	TDL_FS_34_12S	TDL_FS_35_12S	TDL_FS_36_12S	TDL_FS_37_12S	TDL_FS_38_12S	TDL_FS_39_12S	TDL_FS_3_12S	TDL_FS_40_12S	TDL_FS_41_12S	TDL_FS_42_12S	TDL_FS_43_12S	TDL_FS_44_12S	TDL_FS_45_12S	TDL_FS_46_12S	TDL_FS_47_12S	TDL_FS_48_12S	TDL_FS_4_12S	TDL_FS_5_12S	TDL_FS_6_12S	TDL_FS_7_12S	TDL_FS_8_12S	TDL_FS_9_12S
81c48f2c91b846df5645a1873dcb6a41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82adb644e8d11207dd6bb6111a87747c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
841570d820eaab46bb7c7b3b7db8fba3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0
856a99622e9c49fc86cdcf3ddbefcfd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85bd207c4b50a23e29dcb87be24e6779	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
86c340102750abe5f2a75f3d5501b55d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0
873143a37849fe27437fe73b3b4d5fae	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87472bdf2b7134379f3736deea1403f0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	39	95	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
879319f127f42872ba2daeb54fc4135a	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	36	0	0	0	0	0	0	0	3	22	0	0	0	0	0	0	0
87fa60ad023e3c5c9d42fcfb40c8cf61	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10
